Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
56530407,"Pogrzebana. Życie, śmierć i rewolucja w Egipcie",Peter Hessler,"Hessler, Peter",Hanna Jankowska,"=""8381911648""","=""9788381911641""",0,4.35,Wydawnictwo Czarne,Hardcover,552,2021,2019,,2021/03/10,"to-read, non-fiction, reportaże-biografie","to-read (#1805), non-fiction (#16), reportaże-biografie (#17)",to-read,,,,0,,,0,,,,,
50790209,Bezmatek,Mira Marcinów,"Marcinów, Mira",,"=""8381910005""","=""9788381910002""",0,4.02,Czarne,Hardcover,256,2020,2020,,2021/03/10,to-read,to-read (#1804),to-read,,,,0,,,0,,,,,
4465880,Kobiety i duch inności,Maria Janion,"Janion, Maria",,"=""8386056223""","=""9788386056224""",0,4.32,Sic!,Paperback,349,1996,1996,,2021/03/09,"to-read, women","to-read (#1803), women (#117)",to-read,,,,0,,,0,,,,,
53176778,Can't Even: How Millennials Became the Burnout Generation,Anne Helen Petersen,"Petersen, Anne Helen",,"=""1784743348""","=""9781784743345""",0,4.01,Chatto  Windus,Hardcover,304,2021,2020,,2021/03/08,"to-read, non-fiction, publicystyka","to-read (#1802), non-fiction (#15), publicystyka (#32)",to-read,,,,0,,,0,,,,,
33146881,Pandora's Lab: Seven Stories of Science Gone Wrong,Paul A. Offit,"Offit, Paul A.",,"=""""","=""""",0,4.18,National Geographic,Kindle Edition,288,2017,2017,,2021/03/07,"to-read, non-fiction, publicystyka","to-read (#1801), non-fiction (#14), publicystyka (#31)",to-read,,,,0,,,0,,,,,
52266377,Wierzyliśmy jak nikt,Rebecca Makkai,"Makkai, Rebecca",Sebastian Musielak,"=""8366517586""","=""9788366517585""",0,4.23,Wydawnictwo Poznańskie,Hardcover,624,2020,2018,,2021/02/26,"to-read, historia, fiction, amazon, owned","to-read (#1792), historia (#17), fiction (#26), amazon (#116), owned (#755)",to-read,,,,0,,,0,,,,,
35629742,Meltdown: Why Our Systems Fail and What We Can Do about It,Chris Clearfield,"Clearfield, Chris",András Tilcsik,"=""0735222630""","=""9780735222632""",0,4.07,Penguin Press,Hardcover,304,2018,2018,,2021/03/05,"to-read, amazon, owned","to-read (#1800), amazon (#115), owned (#754)",to-read,,,,0,,,0,,,,,
25614523,Originals: How Non-Conformists Move the World,Adam M. Grant,"Grant, Adam M.",,"=""0525429565""","=""9780525429562""",0,3.96,Viking,Hardcover,326,2016,2016,,2019/01/10,"to-read, non-fiction","to-read (#430), non-fiction (#13)",to-read,,,,0,,,0,,,,,
56481725,Staff Engineer: Leadership beyond the management track,Will Larson,"Larson, Will",Tanya Reilly,"=""""","=""""",0,4.19,Will Larson,ebook,,2021,,,2021/03/04,"to-read, software-development-growth","to-read (#1799), software-development-growth (#38)",to-read,,,,0,,,0,,,,,
50514881,Chiny 5.0. Jak powstaje cyfrowa dyktatura,Kai Strittmatter,"Strittmatter, Kai",Agnieszka Gadzała,"=""8328072653""","=""9788328072657""",0,4.24,Wydawnictwo W.A.B.,Paperback,400,2020,2018,,2020/10/15,"to-read, polecajki-z-fejsa, świat","to-read (#1467), polecajki-z-fejsa (#50), świat (#1)",to-read,,,,0,,,0,,,,,
48910168,Prawda. Krótka historia wciskania kitu,Tom     Phillips,"Phillips, Tom",Maria Gębicka-Frąc,"=""8381258197""","=""9788381258197""",0,3.59,Albatros,Paperback,320,2020,2019,,2021/02/13,"owned, virtualo, currently-reading","owned (#744), virtualo (#49), currently-reading (#10)",currently-reading,,,,1,,,0,,,,,
54438214,14 Habits of Highly Productive Developers,Zeno Rocha,"Rocha, Zeno",,"=""""","=""""",3,4.07,,Kindle Edition,112,2020,,2021/03/04,2021/03/04,2021,2021 (#11),read,Good book for beginners in the industry,,,1,,,0,,,,,
13629,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,"Jr., Frederick P. Brooks",,"=""0201835959""","=""9780201835953""",0,4.04,Addison-Wesley Professional,Paperback,322,1995,1975,,2021/03/04,"to-read, software-development-growth","to-read (#1798), software-development-growth (#37)",to-read,,,,0,,,0,,,,,
31181962,Bieżeństwo 1915. Zapomniani uchodźcy,Aneta Prymaka-Oniszk,"Prymaka-Oniszk, Aneta",,"=""8380493508""","=""9788380493506""",4,4.37,Czarne,Hardcover,368,2016,2016,2021/03/04,2020/05/13,"owned, woblink, 2021","owned (#471), woblink (#196), 2021 (#10)",read,,,,1,,,0,,,,,
49942953,Świadomy umysł. W poszukiwaniu teorii fundamentalnej,David J. Chalmers,"Chalmers, David J.",Marcin Miłkowski,"=""8301164980""","=""9788301164980""",0,4.00,Wydawnictwo Naukowe PWN,Paperback,618,2021,1996,,2021/03/04,"to-read, zdrowie-psychika-ciało","to-read (#1797), zdrowie-psychika-ciało (#40)",to-read,,,,0,,,0,,,,,
